method,backbone,source,grouping,group,n_images,n_leaf_concepts,is_h1_fixed_worst_fpr95_group,source_fpr95,group_fpr95,unadjusted_gap,unadjusted_gap_ci_low,unadjusted_gap_ci_high,source_expected_risk,group_expected_risk,source_mean_residual,group_mean_residual,adjusted_residual_gap,adjusted_gap_ci_low,adjusted_gap_ci_high,attenuation_fraction,residual_failure_persists,h1_stored_gap
mcm,ViT-B/32,inaturalist,minilm_kmeans,cluster_08,576,9,True,0.3396,0.4756944444444444,0.1360944444444444,0.09657181689342403,0.17637580917147036,0.3395712273876163,0.3616272967070094,2.8772612383682627e-05,0.11406714773743509,0.11403837512505141,0.0765999204049322,0.15163929934874712,0.16206443554274974,True,0.1360944444444444
mcm,ViT-B/32,inaturalist,minilm_kmeans,cluster_09,325,5,False,0.3396,0.29846153846153844,-0.04113846153846157,-0.08890948695828678,0.00986230550152822,0.3395712273876163,0.3506098889922854,2.8772612383682627e-05,-0.05214835053074697,-0.05217712314313065,-0.09888485686931393,-0.004391443770666061,-0.2683294705697419,False,
mcm,ViT-B/32,sun,predefined,"forest, field, jungle",4332,21,False,0.4056,0.3848107109879963,-0.02078928901200372,-0.03155329197967605,-0.009441611464056306,0.4055691651527177,0.36995227320158686,3.0834847282342536e-05,0.01485843778640943,0.014827602939127087,0.004129685835241931,0.02575093979080083,1.7132328061130728,True,
mcm,ViT-B/32,sun,predefined,"mountains, hills, desert, sky",1383,6,True,0.4056,0.4107013738250181,0.005101373825018074,-0.018881916419386774,0.029749726427281853,0.4055691651527177,0.44036488729860007,3.0834847282342536e-05,-0.029663513473581975,-0.029694348320864317,-0.052509796545688624,-0.006676693095837647,6.82085323275816,False,0.005101373825018
mcm,ViT-B/32,sun,predefined,"water, ice, snow",3670,20,False,0.4056,0.38501362397820166,-0.020586376021798358,-0.033096405544809776,-0.00813814644640761,0.4055691651527177,0.43295597551313686,3.0834847282342536e-05,-0.047942351534935146,-0.04797318638221749,-0.060137100308148346,-0.035591749587923195,-1.330336642613541,False,
mcm,ViT-B/32,sun,minilm_kmeans,cluster_00,2268,12,False,0.4056,0.294973544973545,-0.11062645502645502,-0.12710019775081505,-0.09393904949295315,0.4055691651527177,0.3609080664435577,3.0834847282342536e-05,-0.06593452147001276,-0.06596535631729511,-0.08246048367444976,-0.04973798755393048,0.4037108366030506,False,
mcm,ViT-B/32,sun,minilm_kmeans,cluster_01,2143,10,False,0.4056,0.39617358842743816,-0.009426411572561855,-0.028115653382761834,0.009113304036074316,0.4055691651527177,0.4290029265825006,3.0834847282342536e-05,-0.03282933815506247,-0.03286017300234481,-0.051074504394632264,-0.014572381806482255,-2.4859684143214498,False,
mcm,ViT-B/32,sun,minilm_kmeans,cluster_02,2055,8,False,0.4056,0.4535279805352798,0.0479279805352798,0.02813243227333405,0.06682065626345733,0.4055691651527177,0.34636668728057873,3.0834847282342536e-05,0.10716129325470107,0.10713045840741872,0.08849011979438397,0.12608498095044096,-1.2352383140483032,True,
mcm,ViT-B/32,sun,minilm_kmeans,cluster_03,528,3,False,0.4056,0.3939393939393939,-0.011660606060606094,-0.05292217056341806,0.029307530916592064,0.4055691651527177,0.5098974942119255,3.0834847282342536e-05,-0.11595810027253163,-0.11598893511981398,-0.15474201087290498,-0.07719489715030763,-8.947076036782356,False,
mcm,ViT-B/32,sun,minilm_kmeans,cluster_04,1124,6,True,0.4056,0.4973309608540925,0.09173096085409249,0.06493570188911074,0.11896827580901587,0.4055691651527177,0.4773782063348206,3.0834847282342536e-05,0.019952754519272003,0.01992191967198966,-0.0060833593920595974,0.04566967846541678,0.7828222937326742,False,0.0917309608540924
mcm,ViT-B/32,sun,minilm_kmeans,cluster_05,1244,7,False,0.4056,0.42765273311897106,0.022052733118971046,-0.0034676798600580478,0.04790248366013068,0.4055691651527177,0.36200759007802025,3.0834847282342536e-05,0.06564514304095082,0.06561430819366847,0.042532798701255106,0.09034258361357521,-1.9753367911219684,True,
mcm,ViT-B/32,sun,minilm_kmeans,cluster_06,638,4,False,0.4056,0.48119122257053293,0.07559122257053291,0.03735634440028053,0.11439303864168605,0.4055691651527177,0.54839956094672,3.0834847282342536e-05,-0.06720833837618703,-0.06723917322346938,-0.09994666395805958,-0.03515438151325526,1.8895103285401902,False,
neglabel,ViT-B/32,inaturalist,predefined,Alismatales,236,4,False,0.0339,0.038135593220338986,0.004235593220338986,-0.017547719147437753,0.02973719367588931,0.03389934278735802,0.030908945463051028,6.572126419812196e-07,0.007226647757287956,0.007225990544645975,-0.015988741313814305,0.0328880028895659,-0.7060161750064515,False,
neglabel,ViT-B/32,inaturalist,predefined,Asparagales,498,6,False,0.0339,0.0321285140562249,-0.001771485943775103,-0.01645603231050599,0.014296459316526485,0.03389934278735802,0.037145136172581195,6.572126419812196e-07,-0.0050166221163563006,-0.005017279328998282,-0.019085438585215612,0.010305390681072165,-1.832243375471708,False,
neglabel,ViT-B/32,inaturalist,predefined,Asterales,444,9,False,0.0339,0.03153153153153153,-0.002368468468468471,-0.01766317278764829,0.014539669529013774,0.03389934278735802,0.04050069399337009,6.572126419812196e-07,-0.008969162461838563,-0.008969819674480545,-0.023467630245996077,0.00827635705408951,-2.787181376444806,False,
neglabel,ViT-B/32,inaturalist,predefined,Brassicales,670,5,False,0.0339,0.016417910447761194,-0.017482089552238806,-0.026611918730727258,-0.007379750457616781,0.03389934278735802,0.03371604931092975,6.572126419812196e-07,-0.017298138863168562,-0.017298796075810544,-0.026239997047387654,-0.007128101996167206,0.010484643490731305,False,
neglabel,ViT-B/32,inaturalist,predefined,Caryophyllales,995,9,False,0.0339,0.020100502512562814,-0.013799497487437185,-0.022014011627906976,-0.004963438180691378,0.03389934278735802,0.02777683807316162,6.572126419812196e-07,-0.007676335560598806,-0.007676992773240788,-0.01586321794943763,0.0012151563976242666,0.443675917892678,False,
neglabel,ViT-B/32,inaturalist,predefined,Ericales,756,6,False,0.0339,0.041005291005291,0.0071052910052910034,-0.00608999799314844,0.0211566597667141,0.03389934278735802,0.036892757204168486,6.572126419812196e-07,0.0041125338011225206,0.004111876588480539,-0.00853751631743978,0.018286066819035923,0.4212937112049877,False,
neglabel,ViT-B/32,inaturalist,predefined,Fabales,888,4,False,0.0339,0.013513513513513514,-0.020386486486486485,-0.027739548546824262,-0.012180789835005016,0.03389934278735802,0.03759180907726835,6.572126419812196e-07,-0.024078295563754844,-0.024078952776396826,-0.03144686822706977,-0.01594265506133876,-0.18112323044767686,False,
neglabel,ViT-B/32,inaturalist,predefined,Gentianales,207,3,False,0.0339,0.024154589371980676,-0.009745410628019324,-0.028645684872542928,0.01204690476190473,0.03389934278735802,0.03558790930003938,6.572126419812196e-07,-0.011433319928058714,-0.011433977140700696,-0.029974843915241748,0.011139489995130019,-0.17326786701286068,False,
neglabel,ViT-B/32,inaturalist,predefined,Lamiales,576,7,False,0.0339,0.029513888888888888,-0.0043861111111111115,-0.01714907814407814,0.00924445387662705,0.03389934278735802,0.03153586727255828,6.572126419812196e-07,-0.0020219783836693834,-0.0020226355963113645,-0.014657664371326642,0.011928507031567327,0.538854455559157,False,
neglabel,ViT-B/32,inaturalist,predefined,Liliales,280,5,False,0.0339,0.05357142857142857,0.01967142857142857,-0.004989178762414053,0.04723760243277847,0.03389934278735802,0.03737927400240009,6.572126419812196e-07,0.01619215456902848,0.0161914973563865,-0.007446322988016998,0.043261099410911934,0.17690282138921198,False,
neglabel,ViT-B/32,inaturalist,predefined,Malpighiales,398,4,False,0.0339,0.0,-0.0339,-0.0374,-0.0303,0.03389934278735802,0.03087603616652235,6.572126419812196e-07,-0.03087603616652235,-0.030876693379164332,-0.034559631423625045,-0.027325984501976104,0.0891830861603442,False,
neglabel,ViT-B/32,inaturalist,predefined,Osmundales,223,2,False,0.0339,0.008968609865470852,-0.02493139013452915,-0.0354,-0.010272236891738975,0.03389934278735802,0.02763001987146403,6.572126419812196e-07,-0.01866141000599318,-0.018662067218635163,-0.028986572996913006,-0.004913762623943546,0.2514630304232889,False,
neglabel,ViT-B/32,inaturalist,predefined,Poales,295,5,False,0.0339,0.04067796610169491,0.006777966101694913,-0.014028909719800017,0.03096656155497021,0.03389934278735802,0.03572771180549267,6.572126419812196e-07,0.004950254296202246,0.004949597083560265,-0.014834998404741638,0.028707026670218256,0.2697518681418962,False,
neglabel,ViT-B/32,inaturalist,predefined,Rosales,657,8,True,0.0339,0.0684931506849315,0.0345931506849315,0.01773005297334245,0.05396380401389165,0.03389934278735802,0.036546946308161944,6.572126419812196e-07,0.031946204376769566,0.031945547164127584,0.01401917770249465,0.05010614543299238,0.0765354837123059,True,0.0345931506849315
neglabel,ViT-B/32,inaturalist,predefined,Sapindales,973,5,False,0.0339,0.02877697841726619,-0.005123021582733811,-0.014852752924157032,0.005487513914003749,0.03389934278735802,0.03328119540019464,6.572126419812196e-07,-0.004504216982928456,-0.004504874195570437,-0.014053597083932477,0.006017413661427855,0.12066070329407241,False,
neglabel,ViT-B/32,inaturalist,predefined,Solanales,412,3,False,0.0339,0.03398058252427184,8.058252427184387e-05,-0.01590130952380952,0.018380150547293462,0.03389934278735802,0.03306133336534783,6.572126419812196e-07,0.0009192491589240191,0.0009185919462820379,-0.01512115719941779,0.018887746290708298,-10.399394032174799,False,
neglabel,ViT-B/32,inaturalist,minilm_kmeans,cluster_00,659,7,False,0.0339,0.019726858877086494,-0.014173141122913506,-0.024052701289740457,-0.003180415248994755,0.03389934278735802,0.03520865053435986,6.572126419812196e-07,-0.015481791657273362,-0.015482448869915344,-0.025109577157467842,-0.004723958941858537,-0.09237950399612549,False,
neglabel,ViT-B/32,inaturalist,minilm_kmeans,cluster_01,2723,32,False,0.0339,0.03672420124862284,0.002824201248622843,-0.003206027054017728,0.008871311020710053,0.03389934278735802,0.03259916469576119,6.572126419812196e-07,0.004125036552861652,0.00412437934021967,-0.001790775356685904,0.010140100432551476,-0.46037019926636935,False,
neglabel,ViT-B/32,inaturalist,minilm_kmeans,cluster_02,1463,17,True,0.0339,0.060833902939166094,0.026933902939166095,0.01638008227220671,0.03819470272095187,0.03389934278735802,0.036443109824962995,6.572126419812196e-07,0.024390793114203106,0.024390135901561125,0.013864487423831394,0.03569830259119956,0.09444479856300125,True,0.026933902939166
neglabel,ViT-B/32,inaturalist,minilm_kmeans,cluster_03,1810,14,False,0.0339,0.01878453038674033,-0.015115469613259668,-0.02124783164635104,-0.008873031216941735,0.03389934278735802,0.03587166473648177,6.572126419812196e-07,-0.017087134349741438,-0.01708779156238342,-0.023088535793168944,-0.010865930787620284,-0.13048367001403527,False,
neglabel,ViT-B/32,inaturalist,minilm_kmeans,cluster_04,817,3,False,0.0339,0.0208078335373317,-0.013092166462668298,-0.021887396115938044,-0.002974834682604298,0.03389934278735802,0.03178939512107732,6.572126419812196e-07,-0.010981561583745617,-0.010982218796387598,-0.01996663386538356,-0.0009554276098139203,0.16116107844313754,False,
neglabel,ViT-B/32,inaturalist,minilm_kmeans,cluster_06,654,9,False,0.0339,0.045871559633027525,0.011971559633027526,-0.0026135285703747257,0.027555845763796587,0.03389934278735802,0.030645790621919723,6.572126419812196e-07,0.015225769011107797,0.015225111798465816,0.0006352505017803976,0.03132068220361962,-0.271773458527683,True,
neglabel,ViT-B/32,inaturalist,minilm_kmeans,cluster_07,829,11,False,0.0339,0.05186972255729795,0.01796972255729795,0.004309371381306868,0.03284037837654404,0.03389934278735802,0.030510672085223556,6.572126419812196e-07,0.021359050472074394,0.021358393259432413,0.007464426895850817,0.036175844431212696,-0.18857668454977006,True,
neglabel,ViT-B/32,inaturalist,minilm_kmeans,cluster_08,576,9,False,0.0339,0.008680555555555556,-0.025219444444444444,-0.03240912331206752,-0.01680926039299069,0.03389934278735802,0.03826305942221528,6.572126419812196e-07,-0.029582503866659726,-0.029583161079301708,-0.036750878277972285,-0.020988089421324192,-0.1730298478410195,False,
neglabel,ViT-B/32,inaturalist,minilm_kmeans,cluster_09,325,5,False,0.0339,0.018461538461538463,-0.015438461538461536,-0.028391307714367653,0.0008320295486861791,0.03389934278735802,0.03390252176488012,6.572126419812196e-07,-0.015440983303341664,-0.015441640515983646,-0.02866412571719882,0.0007765904041179719,-0.0002059128439830804,False,
neglabel,ViT-B/32,sun,predefined,"forest, field, jungle",4332,21,True,0.2271,0.22460757156048014,-0.002492428439519856,-0.011766780140239746,0.0073176177123218675,0.2271209153682763,0.20836150005658363,-2.091536827627891e-05,0.016246071503896495,0.016266986872172772,0.007255720661574648,0.02535916074903913,7.526561250162296,True,-0.0024924284395198
neglabel,ViT-B/32,sun,predefined,"mountains, hills, desert, sky",1383,6,False,0.2271,0.12581344902386118,-0.10128655097613881,-0.11828340246515669,-0.08435393705599266,0.2271209153682763,0.24149382782628442,-2.091536827627891e-05,-0.11568037880242325,-0.11565946343414697,-0.13119044271860605,-0.09948428203649994,-0.14190346417654354,False,
neglabel,ViT-B/32,sun,predefined,"water, ice, snow",3670,20,False,0.2271,0.2103542234332425,-0.016745776566757492,-0.027337215698215196,-0.00581012163384768,0.2271209153682763,0.24322499008740806,-2.091536827627891e-05,-0.03287076665416554,-0.032849851285889256,-0.04321093838873664,-0.022704626369243038,-0.9616797796705596,False,
neglabel,ViT-B/32,sun,minilm_kmeans,cluster_00,2268,12,False,0.2271,0.08994708994708994,-0.13715291005291005,-0.14919495025183716,-0.1249741681441529,0.2271209153682763,0.19566606932896427,-2.091536827627891e-05,-0.10571897938187434,-0.10569806401359806,-0.11758012809957046,-0.09339371144244002,0.22934144107607723,False,
neglabel,ViT-B/32,sun,minilm_kmeans,cluster_01,2143,10,True,0.2271,0.3005132991133924,0.07341329911339242,0.05650226118321659,0.09012196736309801,0.2271209153682763,0.23040083141070494,-2.091536827627891e-05,0.0701124677026875,0.07013338307096378,0.05351109949489984,0.08668787323015402,0.04467740970695999,True,0.0734132991133924
neglabel,ViT-B/32,sun,minilm_kmeans,cluster_02,2055,8,False,0.2271,0.25985401459854013,0.03275401459854013,0.01598542127510214,0.048829863254257304,0.2271209153682763,0.18967648898415632,-2.091536827627891e-05,0.07017752561438385,0.07019844098266013,0.05327638599019654,0.0871788975062286,-1.143201126428909,True,
neglabel,ViT-B/32,sun,minilm_kmeans,cluster_03,528,3,False,0.2271,0.20454545454545456,-0.022554545454545438,-0.0557893710179134,0.010866193752730423,0.2271209153682763,0.2838264892565075,-2.091536827627891e-05,-0.07928103471105295,-0.07926011934277667,-0.11033090640813112,-0.046500942565649496,-2.514152812456848,False,
neglabel,ViT-B/32,sun,minilm_kmeans,cluster_04,1124,6,False,0.2271,0.27846975088967973,0.05136975088967974,0.02660464481811945,0.07726268415797467,0.2271209153682763,0.2919367062375546,-2.091536827627891e-05,-0.013466955347874865,-0.013446039979598586,-0.03767665270089735,0.010088090130880491,1.2617501495865715,False,
neglabel,ViT-B/32,sun,minilm_kmeans,cluster_05,1244,7,False,0.2271,0.23311897106109325,0.006018971061093253,-0.014670311509340346,0.02758992803580068,0.2271209153682763,0.19431256062352098,-2.091536827627891e-05,0.03880641043757227,0.03882732580584855,0.017904646628770966,0.0610422175380424,-5.450824470120673,True,
neglabel,ViT-B/32,sun,minilm_kmeans,cluster_06,638,4,False,0.2271,0.27899686520376177,0.05189686520376177,0.018921005082800455,0.08618189046427577,0.2271209153682763,0.35138287196705714,-2.091536827627891e-05,-0.07238600676329537,-0.0723650913950191,-0.09846603462269674,-0.04674404567280253,2.3944019761288717,False,
